section,Anno,Targhetta Ufficio,extra,Descrizione,Località,Denominazione ufficio
Regno,1908,40,R,Bandiera VEIII,Roma,Ferrovia
Regno,1910,42,,Bandiera VEIII,Napoli,Ferrovia
Regno,1913,50,A,Regie Poste,Bologna,Ferrovia
Regno,1913,52,,Poste Italiane - Torino  ( Krag ),Torino,Ferrovia
Regno,1920,82,A,Pregate i vostri corrispondenti,Torino,Ferrovia
Regno,1922,102,A,Pregate i vostri corrispondenti,Bari,Ferrovia
Regno,1922,120,A,Pregate i vostri corrispondenti,Torino,Centro
Regno,1924,151,A,Spazio riservato alla pubblicità,Roma,Centro
Regno,1924,176,,Rinascente - attualmente vendita del bianco,Milano,Arrivi 
Regno,1924,187,B,tingete tende - lidos - super colore,Milano,Ferrovia
Regno,1924,218,,Votate la lista nazionale,Firenze,Distribuzione
Regno,1924,253,,Votate la lista nazionale,Verona,Centro ( A )
Regno,1924,277,,Afro Ballari ( con linea divisoria ),Milano,Ferrovia
Regno,1924,296,A,Tende Ettore Moretti ( con ombra ),Milano,Ferrovia
Regno,1924,297,,Tende Ettore Moretti ( con ombra ),Milano,Portalettere
Regno,1924,307,,A La Rinascente novità di stagione ( rondini ),Bologna,Centro
Regno,1924,323,,Salsomaggiore - Le piu belle terme del Mondo - Tipo 1,Palermo,Centro
Regno,1924,325,,Salsomaggiore - Le piu belle terme del Mondo - Tipo 1,Torino,Ferrovia
Regno,1924,326,R,Salsomaggiore - Le piu belle terme del Mondo - Tipo 1,Trento,Ferrovia
Regno,1924,357,,Linoleum - Pavimento moderno,Napoli,Distribuzione
Regno,1924,360,,Linoleum - Pavimento moderno,Roma,Ferrovia
Regno,1924,370,A,Mata hari,Caserta,Ferrovia
Regno,1924,373,A,Mata hari,Foggia,Ferrovia ( 26 - 22 )
Regno,1924,375,A,Mata hari,Genova,Ferr. 2 smistamento 2
Regno,1924,380,,Mata hari,Milano,Ferrovia
Regno,1924,389,B,Mata hari,Torino,Centro
Regno,1924,390,A,Mata hari,Torino,Ferrovia
Regno,1924,395,A,Mata hari ( col trattino tra Mata ed Hari ),Pisa,Ferrovia
Regno,1924,396,R,Mata hari ( col trattino tra Mata ed Hari ),Roma,Ferrovia
Regno,1924,398,R,Mata hari ( col trattino prima e dopo 'pubblica' ),Genova,Centro
Regno,1924,416,,Gran premio Milano- San Siro,Milano,Portalettere
Regno,1924,417,,Gran premio Milano- San Siro,Torino,Centro
Regno,1924,421,,Recoaro,Torino,Centro
Regno,1924,429,A,Afro Ballari ( senza linea divisoria ),Milano,Ferrovia
Regno,1924,430,A,Afro Ballari ( senza linea divisoria ),Milano,Ferrovia
Regno,1924,431,,Afro Ballari ( senza linea divisoria ),Milano,Ferrovia
Regno,1924,432,A,Afro Ballari ( senza linea divisoria ),Milano,Ferrovia
Regno,1924,435,,Afro Ballari ( senza linea divisoria ),Roma,Ferrovia
Regno,1924,436,A,Afro Ballari ( senza linea divisoria ),Roma,Ferrovia
Regno,1924,438,,Afro Ballari ( senza linea divisoria ),Torino,Centro
Regno,1924,439,A,Afro Ballari ( senza linea divisoria ),Torino,Ferrovia
Regno,1924,443,,Salsomaggiore - Monumentali Terme Berzieri Maggio - Ottobre,Genova,Ferr. 2 smistamento 2
Regno,1924,446,,Salsomaggiore - Periodo di cura Marzo Novembre - Tipo 1,Genova,Ferr. 2 smistamento 2
Regno,1924,447,R,Salsomaggiore - Periodo di cura Marzo Novembre - Tipo 1,Milano,Centro
Regno,1924,457,,Lingue - berlitz school,Milano,Portalettere
Regno,1924,459,,Salsomaggiore - Regi stabilimenti termali acque salso bromo jodiche,Firenze,Centro
Regno,1924,462,,Salsomaggiore - Regi stabilimenti termali acque salso bromo jodiche,Torino,Centro
Regno,1924,467,,Salsomaggiore - Acque salso bromo jodiche Marzo Novembre - Tipo 1,Roma,Ferrovia
Regno,1924,483,,Salsomaggiore - Acque salso bromo jodiche Marzo Novembre - Tipo 2,Bologna,Ferrovia
Regno,1924,486,,Arena nuova -  D'estate a Milano,Milano,Centro Arrivi
